"id";"s1f2";"s1f3";"s1f4";"s1f5"
"74";1996;3676;4808;6076
"74";2035;3721;4887;6067
"74";2023;3709;4979;6066
"74";2018;3701;4946;6068
"74";1974;3694;4803;6065
"74";2006;3734;4860;6057
"74";2012;3725;4847;6070
"74";2021;3703;4866;6080
"74";2009;3681;4820;6062
"74";1988;3687;4756;6105
"94";2771;4156;5379;6668
"94";2764;4149;5371;6718
"94";2777;4215;5455;6733
"94";2798;4197;5409;6680
"94";2764;4176;5429;6728
"94";2774;4189;5399;6727
"94";2789;4192;5382;6703
"94";2784;4204;5400;6695
"94";2740;4180;5387;6728
"94";2732;4152;5389;6708
"104";2173;4252;5731;6581
"104";2192;4167;5591;6939
"104";2214;4081;5588;6941
"104";2209;4120;5615;6940
"104";2212;4082;5590;6951
"104";2201;4132;5574;6960
"104";2198;4090;5565;6964
"104";2206;4087;5600;6996
"104";2204;4114;5597;6940
"104";2199;4080;5581;6922
"126";2181;3344;4740;6107
"126";2165;3356;4744;6091
"126";2195;3376;4747;6073
"126";2183;3348;4726;6099
"126";2180;3315;4767;6104
"126";2167;3311;4754;6085
"126";2165;3333;4754;6134
"126";2165;3313;4748;6124
"126";2180;3307;4760;6120
"126";2152;3333;4747;6104
"248";1947;3004;4653;5723
"248";1945;3020;4633;5712
"248";1938;3012;4656;5722
"248";1930;3026;4637;5727
"248";1921;3002;4605;5699
"248";1916;3063;4566;5681
"248";1920;3037;4588;5729
"248";1929;3018;4631;5747
"248";1937;3066;4599;5697
"248";1920;3052;4576;5697
