"id";"dur";"lfreq";"hfreq";"bandw";"q1";"q3";"pf"
"id30";0.268;1167.3;3196.4;2029.1;1875;2437.5;2156.2
"id30";0.278;1167.3;3141.8;1974.5;1875;2625;1921.9
"id30";0.286;1167.3;3098.2;1930.9;1687.5;2250;1687.5
"id61";0.304;1141.9;3192.4;2050.5;1875;2625;1828.1
"id61";0.293;1191.9;3167.4;1975.5;1875;2625;1687.5
"id61";0.29;1216.9;3175.7;1958.8;1875;2437.5;1734.4
"id61";0.292;1233.6;3167.4;1933.8;1875;2625;1875
"id61";0.289;1250.3;3184.1;1933.8;1875;2625;1921.9
"id61";0.285;1216.9;3167.4;1950.5;1875;2625;2109.4
"id61";0.279;1183.6;3167.4;1983.8;1875;2812.5;1781.2
"id61";0.286;1292;3209.1;1917.1;1875;2812.5;2109.4
"id61";0.282;1275.3;3167.4;1892.1;1875;2812.5;1781.2
"id61";0.295;1200.3;3234.1;2033.8;1875;2625;1546.9
"id30";0.312;1207.5;3200.6;1993.1;1687.5;2437.5;2109.4
"id30";0.306;1215.7;3184;1968.3;1687.5;2437.5;2156.2
"id30";0.314;1265.3;3192.3;1927;1687.5;2437.5;1546.9
"id30";0.314;1157.8;3117.9;1960.1;1687.5;2437.5;2015.6
"id30";0.304;1232.3;3068.3;1836;1875;2437.5;2109.4
"id30";0.302;1199.2;3126.2;1927;1687.5;2625;1921.9
"id30";0.307;1281.9;3126.2;1844.3;1875;2625;2015.6
"id32";0.316;1249.8;3206.6;1956.8;2062.5;2812.5;2906.2
"id32";0.32;1249.8;3132.6;1882.8;2062.5;2812.5;2953.1
"id32";0.32;1274.4;3124.4;1850;2062.5;2812.5;2906.2
"id32";0.326;1216.9;3091.5;1874.6;2062.5;2812.5;3000
"id32";0.329;1216.9;3083.3;1866.4;2062.5;2812.5;2906.2
"id32";0.322;1233.3;3083.3;1850;2062.5;2812.5;2859.4
"id32";0.325;1175.8;3083.3;1907.5;2062.5;2812.5;2953.1
"id32";0.321;1192.2;3075.1;1882.9;2062.5;2812.5;2859.4
"id32";0.316;1245.7;3032.5;1786.8;2250;2625;2484.4
"id32";0.321;1245.7;3025.4;1779.7;2062.5;2625;2531.2
"id44";0.302;1229;3038.9;1809.9;1875;2625;2765.6
"id44";0.296;1186.9;3038.9;1852;1875;2625;2953.1
"id44";0.312;1186.9;3047.3;1860.4;1875;2625;2906.2
"id44";0.307;1220.6;3047.3;1826.7;1875;2625;2906.2
"id44";0.306;1220.6;3030.5;1809.9;1687.5;2437.5;2015.6
"id44";0.316;1203.8;3030.5;1826.7;1875;2625;2765.6
"id44";0.316;1212.2;3030.5;1818.3;1875;2625;2671.9
"id44";0.319;1237.4;2963.1;1725.7;1875;2437.5;2859.4
"id44";0.318;1186.9;3038.9;1852;1687.5;2437.5;2296.9
"id44";0.311;1186.9;3013.6;1826.7;1875;2625;2625
"id18";0.311;972.7;3071.7;2099;1921.9;2812.5;2765.6
"id18";0.321;952.2;3081.9;2129.7;1875;2765.6;2765.6
"id18";0.312;911.3;3112.6;2201.3;2015.6;2578.1;2062.5
"id18";0.319;1034.1;3163.8;2129.7;2062.5;2718.8;2109.4
"id18";0.316;901;3081.9;2180.9;1968.8;2484.4;2156.2
"id18";0.338;829.4;3204.8;2375.4;1734.4;2343.8;1781.2
"id18";0.32;901;3153.6;2252.6;2062.5;2859.4;2109.4
"id18";0.311;972.7;3184.3;2211.6;2015.6;2812.5;2109.4
"id18";0.321;921.5;3163.8;2242.3;2156.2;2859.4;2203.1
"id18";0.317;962.5;3174.1;2211.6;1968.8;2671.9;2437.5
